ts,url,http,bytes,out
19:11:15,https://docs.oracle.com/iaas/Content/pl-sql-sdk/doc/dbms_cloud_oci_og_invoice_service.html,200,37855,dbms_cloud_oci_og_invoice_service.md
19:11:16,https://docs.oracle.com/iaas/Content/pl-sql-sdk/doc/dbms_cloud_oci_og_invoice_service_t.html,200,21387,dbms_cloud_oci_og_invoice_service_t.md
19:11:18,https://docs.oracle.com/iaas/Content/pl-sql-sdk/doc/dbms_cloud_oci_og_subscription_service.html,200,35975,dbms_cloud_oci_og_subscription_service.md
19:11:20,https://docs.oracle.com/iaas/Content/pl-sql-sdk/doc/dbms_cloud_oci_og_subscription_service_t.html,200,21740,dbms_cloud_oci_og_subscription_service_t.md
19:11:22,https://docs.oracle.com/iaas/Content/pl-sql-sdk/doc/dbms_cloud_oci_om_event.html,200,52702,dbms_cloud_oci_om_event.md
19:11:24,https://docs.oracle.com/iaas/Content/pl-sql-sdk/doc/dbms_cloud_oci_om_event_t.html,200,29012,dbms_cloud_oci_om_event_t.md
19:11:25,https://docs.oracle.com/iaas/Content/pl-sql-sdk/doc/dbms_cloud_oci_om_os_management.html,200,399189,dbms_cloud_oci_om_os_management.md
19:11:27,https://docs.oracle.com/iaas/Content/pl-sql-sdk/doc/dbms_cloud_oci_om_os_management_t.html,200,222858,dbms_cloud_oci_om_os_management_t.md
19:11:28,https://docs.oracle.com/iaas/Content/pl-sql-sdk/doc/dbms_cloud_oci_omh_lifecycle_environment.html,200,73257,dbms_cloud_oci_omh_lifecycle_environment.md
19:11:29,https://docs.oracle.com/iaas/Content/pl-sql-sdk/doc/dbms_cloud_oci_omh_lifecycle_environment_t.html,200,38802,dbms_cloud_oci_omh_lifecycle_environment_t.md
19:11:31,https://docs.oracle.com/iaas/Content/pl-sql-sdk/doc/dbms_cloud_oci_omh_managed_instance.html,200,155928,dbms_cloud_oci_omh_managed_instance.md
19:11:33,https://docs.oracle.com/iaas/Content/pl-sql-sdk/doc/dbms_cloud_oci_omh_managed_instance_group.html,200,150885,dbms_cloud_oci_omh_managed_instance_group.md
19:11:35,https://docs.oracle.com/iaas/Content/pl-sql-sdk/doc/dbms_cloud_oci_omh_managed_instance_group_t.html,200,70161,dbms_cloud_oci_omh_managed_instance_group_t.md
19:11:37,https://docs.oracle.com/iaas/Content/pl-sql-sdk/doc/dbms_cloud_oci_omh_managed_instance_t.html,200,68910,dbms_cloud_oci_omh_managed_instance_t.md
19:11:38,https://docs.oracle.com/iaas/Content/pl-sql-sdk/doc/dbms_cloud_oci_omh_management_station.html,200,51767,dbms_cloud_oci_omh_management_station.md
19:11:39,https://docs.oracle.com/iaas/Content/pl-sql-sdk/doc/dbms_cloud_oci_omh_management_station_t.html,200,29527,dbms_cloud_oci_omh_management_station_t.md
19:11:41,https://docs.oracle.com/iaas/Content/pl-sql-sdk/doc/dbms_cloud_oci_omh_onboarding.html,200,34488,dbms_cloud_oci_omh_onboarding.md
19:11:43,https://docs.oracle.com/iaas/Content/pl-sql-sdk/doc/dbms_cloud_oci_omh_onboarding_t.html,200,20888,dbms_cloud_oci_omh_onboarding_t.md
19:11:44,https://docs.oracle.com/iaas/Content/pl-sql-sdk/doc/dbms_cloud_oci_omh_reporting_managed_instance.html,200,31881,dbms_cloud_oci_omh_reporting_managed_instance.md
19:11:46,https://docs.oracle.com/iaas/Content/pl-sql-sdk/doc/dbms_cloud_oci_omh_reporting_managed_instance_t.html,200,16100,dbms_cloud_oci_omh_reporting_managed_instance_t.md
