ts,url,http,bytes,out
15:37:04,https://docs.oracle.com/en-us/iaas/Content/FreeTier/freetier.htm,200,11116,Content__FreeTier__freetier.md
15:37:04,https://docs.oracle.com/en-us/iaas/Content/FreeTier/freetier_topic-Always_Free_Resources.htm,200,53761,FreeTier__freetier_topic-Always_Free_Resources.md
15:37:05,https://docs.oracle.com/en-us/iaas/Content/FreeTier/freetier_topic-Always_Free_Resources_Launching.htm,200,11999,FreeTier__freetier_topic-Always_Free_Resources_Launching.md
15:37:06,https://docs.oracle.com/en-us/iaas/Content/FreeTier/faq.htm,200,5793,FreeTier__faq.md
